Hoy Azimuth Altitude Hor_Angle Ver_Angle
1231 101.946373 1.471712 1.504254 7.07512
1232 108.210611 14.563137 15.295883 39.737161
1233 115.976497 27.384367 29.951323 49.783627
1234 126.482698 39.248947 45.458324 53.954501
1235 141.687972 49.258387 61.896899 55.945502
1236 163.60668 55.719924 79.11044 56.817999
1237 190.179153 56.501294 83.328568 56.918339
1238 213.719069 51.256335 65.990308 56.28031
1239 230.446484 41.926739 49.353245 54.661169
1240 241.902307 30.409548 33.637114 51.254544
1241 250.217406 17.769254 18.807414 43.436987
1242 256.785776 4.616668 4.741671 19.455909
1255 101.624515 1.627145 1.661187 8.024498
1256 107.88973 14.752876 15.467307 40.604408
1257 115.648786 27.603812 30.11482 50.380741
1258 126.152974 39.509392 45.602665 54.419358
1259 141.4 49.571099 62.0091 56.344078
1260 163.486977 56.078356 79.178296 57.186776
1261 190.344954 56.854519 83.311703 57.282966
1262 214.066281 51.549984 66.022063 56.665008
1263 230.830612 42.15447 49.423814 55.097024
1264 242.272689 30.586933 33.733789 51.792736
1265 250.570753 17.9114 18.918046 44.17615
1266 257.132477 4.732114 4.853431 20.3907
1279 101.301265 1.786725 1.822019 9.044443
1280 107.567118 14.945729 15.641822 41.489803
1281 115.318871 27.82612 30.281212 50.984739
1282 125.820455 39.772605 45.749727 54.888204
1283 141.109286 49.886742 62.123992 56.74573
1284 163.368393 56.439873 79.248944 57.558212
1285 190.51955 57.20961 83.291966 57.650178
1286 214.423839 51.843379 66.051007 57.052534
1287 231.222492 42.380735 49.491719 55.536357
1288 242.648613 30.762492 33.82809 52.336251
1289 250.928341 18.051773 19.026616 44.926966
1290 257.482709 4.846193 4.963592 21.36494
1303 100.976697 1.950334 1.986642 10.139562
1304 107.242827 15.141579 15.819178 42.392518
1305 114.986772 28.051161 30.45033 51.595173
1306 125.485114 40.038447 45.899541 55.360933
1307 140.815729 50.20518 62.241576 57.150237
1308 163.250871 56.804353 79.322289 57.932215
1309 190.703088 57.566434 83.269458 58.019898
1310 214.791783 52.136378 66.077178 57.442808
1311 231.62203 42.605433 49.557137 55.979228
1312 243.02995 30.936169 33.920127 52.885179
1313 251.290037 18.190348 19.13322 45.689832
1314 257.836345 4.9589 5.07219 22.381302
1327 100.65088 2.117846 2.15494 11.314526
1328 106.916904 15.340307 15.999366 43.312101
1329 114.65251 28.278805 30.622038 52.211741
1330 125.146917 40.306777 46.051824 55.83723
1331 140.519222 50.526272 62.361652 57.557519
1332 163.134345 57.171676 79.398135 58.308552
1333 190.895717 57.924857 83.244247 58.391977
1334 215.170147 52.428839 66.100764 57.83578
1335 232.029126 42.828462 49.620059 56.425386
1336 243.416566 31.107906 34.009872 53.439396
1337 251.655709 18.327102 19.237859 46.464769
1338 258.193257 5.070238 5.179243 23.442632
1351 100.323886 2.289128 2.326746 12.574197
1352 106.589399 15.541792 16.182143 44.247723
1353 114.316102 28.50892 30.796365 52.834089
1354 124.805834 40.577452 46.206521 56.316885
