Hoy,Azimuth,Altitude,Hor_Angle,Ver_Angle,I_direct,I_diffuse,sky_cover
5647,82.799888,12.05981,12.15284,0.0,62.0,29.0,0.8
5648,88.222419,25.822018,25.832837,0.0,272.0,87.0,0.6
5649,94.213463,39.649728,39.7259,84.933603,153.0,155.0,0.5
5650,102.092522,53.350668,53.964352,81.141092,385.0,313.0,0.6
5651,115.677424,66.480477,68.582971,79.32049,94.0,309.0,0.8
5652,150.569798,76.932638,83.493627,78.571405,241.0,434.0,0.9
5653,216.583727,75.913285,81.494032,78.607538,378.0,320.0,0.8
5654,246.694523,64.778628,66.607245,79.443942,368.0,397.0,0.8
5655,259.045845,51.513026,52.025204,81.408645,692.0,280.0,0.7
5656,266.533577,37.773162,37.823975,85.538554,476.0,157.0,0.6
5657,272.378848,23.934664,23.953005,0.0,424.0,185.0,0.6
5658,277.770556,10.18482,10.277204,0.0,336.0,82.0,0.5
5671,83.1517,11.99922,12.082895,0.0,4.0,32.0,0.9
5672,88.60595,25.767734,25.774378,0.0,20.0,117.0,0.9
5673,94.661451,39.592913,39.686193,84.388127,100.0,217.0,0.9
5674,102.664685,53.276201,53.950132,80.710866,139.0,296.0,0.9
5675,116.492014,66.352919,68.600239,78.948043,269.0,310.0,0.8
5676,151.515025,76.657045,83.54622,78.224238,466.0,390.0,0.8
5677,216.031458,75.590511,81.405622,78.26208,526.0,403.0,0.6
5678,246.081442,64.546451,66.485906,79.077282,559.0,365.0,0.4
5679,258.578453,51.31841,51.876277,80.991036,611.0,291.0,0.3
5680,266.154808,37.591345,37.653759,85.021651,273.0,238.0,0.5
5681,272.050348,23.753931,23.767434,0.0,230.0,172.0,0.7
5682,277.469343,9.998764,10.082589,0.0,130.0,102.0,0.9
5695,83.506717,11.938875,12.013717,0.0,12.0,31.0,0.6
5696,88.992763,25.71318,25.716624,0.0,348.0,100.0,0.4
5697,95.112945,39.535078,39.647297,83.837327,374.0,168.0,0.2
5698,103.240344,53.199517,53.937036,80.277101,282.0,275.0,0.4
