,Hoy,SD_Angle,SD_Position,vis,Shaded_Ratio,Unshaded_Ratio
453,1093,29,0.01,0.04347826,0.9187,0.0813
454,1094,23,-0.06,0.39130435,0.6626,0.3374
455,1095,45,-0.04,0.26086957,0.7673,0.2327
456,1096,0,-0.04,0.26086957,0.7734,0.2266
457,1097,7,0.06,0.34782609,0.6702,0.3298
458,1112,61,0.04,0.30434783,0.7724,0.2276
459,1113,20,-0.05,0.30434783,0.7175,0.2825
460,1114,84,0.12,0.82608696,0.2846,0.7154
461,1115,77,0.1,0.73913043,0.3852,0.6148
462,1116,34,0.14,0.86956522,0.1474,0.8526
463,1117,27,0.11,0.69565217,0.3089,0.6911
464,1118,34,-0.01,0.08695652,0.9599,0.0401
465,1119,42,0.12,0.73913043,0.2846,0.7154
466,1120,52,-0.06,0.39130435,0.6601,0.3399
467,1121,43,0.06,0.34782609,0.6682,0.3318
468,1136,20,-0.07,0.43478261,0.6443,0.3557
469,1137,52,-0.01,0.13043478,0.9278,0.0722
470,1138,41,0.11,0.69565217,0.343,0.657
471,1139,2,0.09,0.52173913,0.4451,0.5549
472,1140,27,0.02,0.08695652,0.8608,0.1392
473,1141,89,0.14,0.91304348,0.126,0.874
474,1142,19,-0.14,0.91304348,0.1672,0.8328
475,1143,48,0.03,0.17391304,0.8059,0.1941
476,1144,65,-0.02,0.26086957,0.8755,0.1245
477,1145,38,0.07,0.39130435,0.6148,0.3852
478,1160,68,0.02,0.30434783,0.8145,0.1855
479,1161,20,0.04,0.2173913,0.7551,0.2449
480,1162,78,0.09,0.69565217,0.4583,0.5417
481,1163,32,-0.01,0.08695652,0.9583,0.0417
482,1164,51,0.08,0.47826087,0.5041,0.4959
483,1165,73,0.07,0.56521739,0.5528,0.4472
484,1166,1,-0.02,0.13043478,0.8806,0.1194
485,1167,37,-0.05,0.34782609,0.7287,0.2713
486,1168,14,-0.09,0.56521739,0.4914,0.5086
487,1169,11,-0.07,0.43478261,0.6341,0.3659
488,1184,11,-0.09,0.56521739,0.5376,0.4624
489,1185,54,0.01,0.17391304,0.9101,0.0899
490,1186,45,0.14,0.86956522,0.1692,0.8308
491,1187,83,0.14,0.91304348,0.1474,0.8526
492,1188,84,0.03,0.52173913,0.8013,0.1987
493,1189,51,-0.05,0.34782609,0.7154,0.2846
494,1190,39,0.07,0.39130435,0.5635,0.4365
495,1191,11,-0.08,0.52173913,0.5356,0.4644
496,1192,67,-0.02,0.26086957,0.874,0.126
497,1193,4,-0.04,0.26086957,0.7988,0.2012
498,1208,21,-0.07,0.43478261,0.6255,0.3745
499,1209,50,-0.05,0.34782609,0.7078,0.2922
500,1210,5,0.12,0.73913043,0.2851,0.7149
501,1211,74,-0.12,0.7826087,0.2856,0.7144
502,1212,22,0.12,0.73913043,0.2663,0.7337
503,1213,33,-0.05,0.34782609,0.7154,0.2846
504,1214,25,0.09,0.56521739,0.4446,0.5554
505,1215,63,0.12,0.7826087,0.2846,0.7154
506,1216,66,0.01,0.26086957,0.9096,0.0904
507,1217,56,-0.02,0.17391304,0.8425,0.1575
508,1232,50,0.04,0.26086957,0.7597,0.2403
509,1233,81,-0.09,0.60869565,0.4685,0.5315
